SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-17-2022,Single Family Residential,208 Lions Head Dr,Wildwood,MO,63005,724999,5,3.5,Lions Head,4700,158558,1989,,154,125,Sold,,,https://www.redfin.com/MO/Wildwood/208-Lions-Head-Dr-63005/home/93485772,MARIS,22019052,N,Y,38.645316,-90.675277
PAST SALE,August-5-2021,Single Family Residential,16607 Dresser Hill Dr,Wildwood,MO,63005,599000,4,2.5,Dresser Hill,3328,143312,1985,,180,83,Sold,,,https://www.redfin.com/MO/Wildwood/16607-Dresser-Hill-Dr-63005/home/93495579,MARIS,21039076,N,Y,38.6255586,-90.6198798
PAST SALE,March-19-2021,Single Family Residential,17605 Lance Leaf Ct,Wildwood,MO,63005,745000,5,4.5,Wildhorse Village J Three,4862,36155,1993,,153,67,Sold,,,https://www.redfin.com/MO/Wildwood/17605-Lance-Leaf-Ct-63005/home/93484883,MARIS,20084860,N,Y,38.6383022,-90.646295
PAST SALE,April-30-2021,Single Family Residential,1325 Carriage Crossing Ln,Chesterfield,MO,63005,619900,4,3.5,Country Place At Chesterfield One,2992,28750,1987,,207,38,Sold,,,https://www.redfin.com/MO/Chesterfield/1325-Carriage-Crossing-Ln-63005/home/93476680,MARIS,21011691,N,Y,38.6536421,-90.61209
PAST SALE,November-13-2020,Single Family Residential,1016 Greystone Manor Pkwy,Chesterfield,MO,63005,895500,5,4.5,Greystone One,6256,23522,1997,,143,50,Sold,,,https://www.redfin.com/MO/Chesterfield/1016-Greystone-Manor-Pkwy-63005/home/93476935,MARIS,20060155,N,Y,38.6512084,-90.6383705
PAST SALE,March-8-2019,Single Family Residential,826 Babler Park Dr,Wildwood,MO,63005,1399000,3,4.5,Sur 414-45-3 Bdy Adj,3861,614849,1988,,362,,Sold,,,https://www.redfin.com/MO/Wildwood/826-Babler-Park-Dr-63005/home/62693274,MARIS,19015438,N,Y,38.6213391,-90.6754145
PAST SALE,August-24-2020,Single Family Residential,1229 Fienup Lake Dr,Chesterfield,MO,63005,668492,4,3.5,Fienup Farms,3215,,,,208,125,Sold,,,https://www.redfin.com/MO/Chesterfield/1229-Fienup-Lake-Dr-63005/home/172906157,MARIS,20060597,N,Y,38.6591001,-90.5979289
PAST SALE,April-19-2022,Single Family Residential,1205 Patchwork Flds Lot 200,Chesterfield,MO,63005,1286000,5,4.5,Fienup Farms,5600,21780,,,230,,Sold,,,https://www.redfin.com/MO/Chesterfield/1205-Patchwork-Flds-63005/unit-200/home/175869583,MARIS,21046338,N,Y,38.6605889,-90.598261
PAST SALE,September-30-2022,Single Family Residential,1400 Christmas Valley Dr,Wildwood,MO,63005,409000,3,1.5,Wildwood,1660,140655,1971,,246,6,Sold,,,https://www.redfin.com/MO/Wildwood/1400-Christmas-Valley-Dr-63005/home/93496123,MARIS,22058340,N,Y,38.6230806,-90.6387963
PAST SALE,November-24-2020,Single Family Residential,17706 Chaistain Ct,Chesterfield,MO,63005,750000,5,4.5,Wildhorse Village,6528,27007,1989,,115,,Sold,,,https://www.redfin.com/MO/Chesterfield/17706-Chaistain-Ct-63005/home/93485532,MARIS,20074909,N,Y,38.6485651,-90.6294982
