SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-22-2019,Single Family Residential,18014 Little Pine Ct,Wildwood,MO,63005,919900,5,4.5,Pine Creek,4804,28750,1996,,191,38,Sold,,,https://www.redfin.com/MO/Wildwood/18014-Little-Pine-Ct-63005/home/93485938,MARIS,19039867,N,Y,38.6409713,-90.6525913
PAST SALE,November-1-2021,Single Family Residential,840 Tara Estates Ct,Chesterfield,MO,63005,1990000,5,5.0,Tara Estates,7517,43996,2005,,265,42,Sold,,,https://www.redfin.com/MO/Chesterfield/840-Tara-Estates-Ct-63005/home/93323394,MARIS,21052455,N,Y,38.651893,-90.6479986
PAST SALE,August-3-2020,Single Family Residential,18034 Pine Canyon Ct,Wildwood,MO,63005,840000,5,5.5,Pine Creek,5208,45302,1996,,161,42,Sold,,,https://www.redfin.com/MO/Wildwood/18034-Pine-Canyon-Ct-63005/home/93485610,MARIS,20026945,N,Y,38.6422789,-90.653184
PAST SALE,July-31-2020,Single Family Residential,89 Grand Meridien Frst,Wildwood,MO,63005,1599000,4,3.5,Meridien,4804,84071,2016,,333,,Sold,,,https://www.redfin.com/MO/Wildwood/89-Grand-Meridien-Frst-63005/home/62778147,MARIS,20016636,N,Y,38.6339188,-90.6536285
PAST SALE,December-6-2021,Single Family Residential,1036 Keystone Trail Dr,Wildwood,MO,63005,575000,5,3.5,Wilderness,3524,23958,1996,,163,67,Sold,,,https://www.redfin.com/MO/Wildwood/1036-Keystone-Trail-Dr-63005/home/93485524,MARIS,21056311,N,Y,38.6456733,-90.6468135
PAST SALE,December-15-2020,Single Family Residential,339 Pine Bnd,Wildwood,MO,63005,924900,4,4.5,Pine Creek,6250,23522,1998,,148,42,Sold,,,https://www.redfin.com/MO/Wildwood/339-Pine-Bend-Dr-63005/home/93485606,MARIS,20076341,N,Y,38.6431665,-90.6556287
PAST SALE,November-23-2021,Single Family Residential,457 Pine Bend Dr,Wildwood,MO,63005,949000,5,4.5,Pine Creek,4647,24829,1998,,204,42,Sold,,,https://www.redfin.com/MO/Wildwood/457-Pine-Bend-Dr-63005/home/93486004,MARIS,21068402,N,Y,38.6412841,-90.6552583
PAST SALE,July-16-2021,Single Family Residential,18255 Canyon Forest Ct,Chesterfield,MO,63005,1240000,4,4.5,Estates At Wildhorse Canyon,4706,234353,2007,,263,175,Sold,,,https://www.redfin.com/MO/Chesterfield/18255-Canyon-Forest-Ct-63005/home/93326958,MARIS,21034597,N,Y,38.648509,-90.662561
PAST SALE,May-1-2020,Single Family Residential,17826 Keystone Trail Ct,Wildwood,MO,63005,525000,4,3.5,Wildhorse Village,3452,23087,1995,,152,67,Sold,,,https://www.redfin.com/MO/Wildwood/17826-Keystone-Trail-Ct-63005/home/93485493,MARIS,20013886,N,Y,38.6431881,-90.6480542
PAST SALE,May-18-2022,Single Family Residential,16687 Annas Way,Wildwood,MO,63005,1050000,6,5.0,Summit at Wildhorse,6343,65340,1995,,166,117,Sold,,,https://www.redfin.com/MO/Wildwood/16687-Annas-Way-63005/home/93484882,MARIS,22000253,N,Y,38.6371644,-90.6445915
